project,source,long,lat,date,subset,depth,temp,chltot,chl0.2,chl2,chl20
TPR,,-8.786333333,42.23483333,02/7/18,RÍa,-10,13,4.57443,0.06998,0.32445,4.18
TPR,,-8.786333333,42.23483333,02/7/18,RÍa,-20,12.14,1.70289,0.03926,0.20561,1.45803
TPR,,-8.786333333,42.23483333,02/7/22,RÍa,0,17.29,2.83279,0.13504,0.53317,2.16457
TPR,,-8.786333333,42.23483333,02/7/22,RÍa,-10,15.68,3.78257,0.20282,0.7683,2.81146
TPR,,-8.786333333,42.23483333,02/7/22,RÍa,-20,13.12,9.91525,0.24292,1.08233,8.59
TPR,,-8.786333333,42.23483333,02/7/26,RÍa,0,16.38,3.81736,0.2656,0.70776,2.84399
TPR,,-8.786333333,42.23483333,02/7/26,RÍa,-10,12.74,7.97255,0.27706,0.7555,6.94
TPR,,-8.786333333,42.23483333,02/7/26,RÍa,-20,12.32,5.80668,0.14479,0.65566,5.00623
SEEDS I,Tsuda et al,164.9971667,48.5015,01/7/17,IN Day0,5,7.39,0.72005,0.26543,0.19817,0.25646
SEEDS I,,164.9971667,48.5015,01/7/17,IN Day0,10,6.37,0.7629,0.19468,0.25845,0.30977
SEEDS I,,164.9971667,48.5015,01/7/17,IN Day0,30,4.53,0.77934,0.21013,0.21511,0.35411
SEEDS I,,164.9971667,48.5015,01/7/17,IN Day0,50,2.91,0.41914,0.21461,0.08707,0.11746
SEEDS I,,164.7613333,48.52566667,01/7/19,IN Day2,5,8.43,0.81415,0.16742,0.24211,0.40461
SEEDS I,,164.7613333,48.52566667,01/7/19,IN Day2,10,7.38,0.73441,0.20225,0.25322,0.27895
SEEDS I,,164.7613333,48.52566667,01/7/19,IN Day2,30,5.35,0.83837,0.30923,0.25019,0.27895
SEEDS I,,164.7613333,48.52566667,01/7/19,IN Day2,50,3.13,0.51539,0.176,0.19417,0.14522
SEEDS I,,165.3326667,48.56633333,01/7/20,OUT Day2,5,8.39,0.68143,0.16389,0.28753,0.23
SEEDS I,,165.3326667,48.56633333,01/7/20,OUT Day2,10,8.14,0.61584,0.15911,0.23986,0.21687
SEEDS I,,165.3326667,48.56633333,01/7/20,OUT Day2,30,5.2,0.58554,0.13109,0.20931,0.24514
SEEDS I,,165.3326667,48.56633333,01/7/20,OUT Day2,50,3.63,0.46493,0.18559,0.13916,0.14017
SEEDS I,,164.7095,48.55883333,01/7/21,IN Day4,5,8.98,0.85791,0.10758,0.28631,0.46402
SEEDS I,,164.7095,48.55883333,01/7/21,IN Day4,10,6.94,0.78663,0.14679,0.14577,0.49407
SEEDS I,,164.7095,48.55883333,01/7/21,IN Day4,30,4.52,0.91647,0.33672,0.19262,0.38713
SEEDS I,,164.7095,48.55883333,01/7/21,IN Day4,50,2.92,0.78052,0.28478,0.27154,0.22419
SEEDS I,,165.4813333,48.65416667,01/7/22,OUT Day4,5,8.97,0.78306,0.17327,0.34334,0.26645
SEEDS I,,165.4813333,48.65416667,01/7/22,OUT Day4,10,8.72,0.75363,0.21178,0.26058,0.28127
SEEDS I,,165.4813333,48.65416667,01/7/22,OUT Day4,30,4.83,0.62215,0.15239,0.20535,0.26442
SEEDS I,,165.4813333,48.65416667,01/7/22,OUT Day4,50,3.34,0.73927,0.32603,0.20178,0.21146
SEEDS I,,164.5603333,48.52,01/7/25,IN Day7,5,9.9,4.31414,0.24655,0.52647,3.54112
SEEDS I,,164.5603333,48.52,01/7/25,IN Day7,10,9.56,4.67534,0.13948,0.56904,3.96681
SEEDS I,,164.5603333,48.52,01/7/25,IN Day7,30,4.95,0.79998,0.256,0.18118,0.36281
SEEDS I,,164.5603333,48.52,01/7/25,IN Day7,50,2.8,0.40267,0.08778,0.14506,0.16983
SEEDS I,,164.9311667,48.53266667,01/7/25,OUT Day7,5,9.24,0.91917,0.11978,0.32204,0.47735
SEEDS I,,164.9311667,48.53266667,01/7/25,OUT Day7,10,9.25,0.83507,0.27664,0.29366,0.26477
SEEDS I,,164.9311667,48.53266667,01/7/25,OUT Day7,30,4.87,0.79379,0.27302,0.27354,0.24722
SEEDS I,,164.9311667,48.53266667,01/7/25,OUT Day7,50,3.23,0.42795,0.12958,0.08933,0.20904
SEEDS I,,164.2708333,48.64066667,01/7/26,IN Day9,5,9.51,13.9209,0.4283,0.97882,12.51377
SEEDS I,,164.2708333,48.64066667,01/7/26,IN Day9,10,9.51,12.30447,0.46084,0.81354,11.03009
SEEDS I,,164.2708333,48.64066667,01/7/26,IN Day9,30,4.7,0.62849,0.21869,0.18538,0.22442
